epoch,accuracy,loss,val_accuracy,val_loss
0,0.7369999885559082,0.7544518113136292,0.8062499761581421,0.42844918370246887
1,0.8389999866485596,0.39436739683151245,0.8374999761581421,0.36524027585983276
2,0.8859999775886536,0.299681693315506,0.9012500047683716,0.2633114159107208
3,0.8999999761581421,0.24388964474201202,0.875,0.3059605360031128
4,0.9210000038146973,0.19937917590141296,0.8974999785423279,0.2804565131664276
5,0.9309999942779541,0.1698421835899353,0.8862500190734863,0.32398778200149536
6,0.9440000057220459,0.15561620891094208,0.9100000262260437,0.278830885887146
7,0.9589999914169312,0.1463286280632019,0.9024999737739563,0.27145251631736755
8,0.9539999961853027,0.10534141957759857,0.9037500023841858,0.3372649848461151
9,0.9670000076293945,0.08600565791130066,0.8962500095367432,0.37713468074798584
